"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2409:40d0:1220:346c:98fd:14ff:fe56:da7d","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","DNS","102","Standard query response 0xc319 Server failure AAAA t-ring-fdv2.msedge.net"
"2","0.000000","2409:40d0:1220:346c:98fd:14ff:fe56:da7d","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","DNS","102","Standard query response 0x75c7 Server failure AAAA t-ring-fdv2.msedge.net"
"3","0.000000","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"4","0.000000","2405:200:1604::17c8:d840","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","TCP","74","443  >  58527 [RST] Seq=1 Win=0 Len=0"
"5","0.000000","2405:200:1604::17c8:d842","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","TCP","74","443  >  58526 [RST] Seq=1 Win=0 Len=0"
"6","0.000000","2409:40d0:1220:346c:98fd:14ff:fe56:da7d","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","DNS","102","Standard query response 0xc185 Server failure A t-ring-fdv2.msedge.net"
"7","0.000000","2409:40d0:1220:346c:98fd:14ff:fe56:da7d","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","DNS","102","Standard query response 0x0f7a Server failure A t-ring-fdv2.msedge.net"
"8","0.000000","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"9","0.000000","144.196.161.48","192.168.31.102","DTLSv1.2","1267","Application Data"
"10","0.000000","144.196.161.48","192.168.31.102","DTLSv1.2","1267","Application Data"
"11","0.000400","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","2409:40d0:1220:346c:98fd:14ff:fe56:da7d","DNS","102","Standard query 0x7d81 A t-ring-fdv2.msedge.net"
"12","0.000421","144.196.161.48","192.168.31.102","DTLSv1.2","383","Application Data"
"13","0.000421","144.196.161.48","192.168.31.102","UDP","1250","5004  >  56532 Len=1208"
"14","0.000421","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"15","0.000421","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"16","0.000421","2620:1ec:29:1::48","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","TCP","86","443  >  58530 [SYN, ACK] Seq=0 Ack=1 Win=43200 Len=0 MSS=1282 SACK_PERM WS=512"
"17","0.000421","144.196.161.48","192.168.31.102","DTLSv1.2","107","Application Data"
"18","0.000421","144.196.161.48","192.168.31.102","DTLSv1.2","107","Application Data"
"19","0.000421","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"20","0.000421","13.107.253.48","192.168.31.102","TCP","66","443  >  58531 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1282 SACK_PERM WS=512"
"21","0.000421","144.196.161.48","192.168.31.102","DTLSv1.2","107","Application Data"
"22","0.000421","144.196.161.48","192.168.31.102","DTLSv1.2","107","Application Data"
"23","0.000421","144.196.161.48","192.168.31.102","DTLSv1.2","107","Application Data"
"24","0.000421","144.196.161.48","192.168.31.102","DTLSv1.2","107","Application Data"
"25","0.000421","144.196.161.48","192.168.31.102","UDP","85","5004  >  56532 Len=43"
"26","0.000421","2620:1ec:29:1::48","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","TCP","74","443  >  58529 [ACK] Seq=1 Ack=1 Win=83 Len=0"
"27","0.000598","192.168.31.102","192.168.31.1","DNS","82","Standard query 0x6520 AAAA t-ring-fdv2.msedge.net"
"28","0.000625","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","2620:1ec:29:1::48","TCP","74","58530  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=0"
"29","0.000720","192.168.31.102","144.196.161.48","DTLSv1.2","107","Application Data"
"30","0.000773","2620:1ec:29:1::48","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","TCP","74","443  >  58529 [ACK] Seq=1 Ack=450 Win=83 Len=0"
"31","0.000773","2620:1ec:29:1::48","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","TLSv1.2","1356","Server Hello"
"32","0.000773","2620:1ec:29:1::48","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","TCP","1356","443  >  58529 [PSH, ACK] Seq=1283 Ack=450 Win=83 Len=1282 [TCP PDU reassembled in 41]"
"33","0.000773","2620:1ec:29:1::48","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","TCP","324","[TCP Previous segment not captured] 443  >  58529 [PSH, ACK] Seq=3847 Ack=450 Win=83 Len=250 [TCP PDU reassembled in 41]"
"34","0.000812","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","2620:1ec:29:1::48","TCP","86","58529  >  443 [ACK] Seq=450 Ack=2565 Win=255 Len=0 SLE=3847 SRE=4097"
"35","0.000924","192.168.31.102","144.196.161.48","DTLSv1.2","107","Application Data"
"36","0.000988","2409:40d0:1220:346c:9a8a:dd66:d49e:33d4","2620:1ec:29:1::48","TCP","1356","58530  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1282 [TCP PDU reassembled in 37]"
