"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.166.110.130","10.166.110.255","UDP","52","2008  >  2008 Len=10"
"2","0.254314","10.166.110.130","199.232.21.21","TCP","55","56721  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"3","0.270518","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2404:6800:4002:831::2003","TCP","75","64392  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"4","0.390202","199.232.21.21","10.166.110.130","TCP","66","443  >  56721 [ACK] Seq=1 Ack=2 Win=305 Len=0 SLE=1 SRE=2"
"5","0.399156","2404:6800:4002:831::2003","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","TCP","86","443  >  64392 [ACK] Seq=1 Ack=2 Win=1045 Len=0 SLE=1 SRE=2"
"6","0.718424","2600:140f:a800::6011:a84b","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","TLSv1.2","113","Application Data"
"7","0.718424","2600:140f:a800::6011:a84b","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","TLSv1.2","98","Application Data"
"8","0.718525","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2600:140f:a800::6011:a84b","TCP","74","50713  >  443 [ACK] Seq=1 Ack=64 Win=253 Len=0"
"9","0.719139","2600:140f:a800::6011:a84b","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","TCP","74","443  >  50713 [FIN, ACK] Seq=64 Ack=1 Win=501 Len=0"
"10","0.719183","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2600:140f:a800::6011:a84b","TCP","74","50713  >  443 [ACK] Seq=1 Ack=65 Win=253 Len=0"
"11","1.010299","10.166.110.130","10.166.110.255","UDP","52","2008  >  2008 Len=10"
"12","1.522493","10.166.110.130","199.232.21.21","TCP","55","63849  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"13","1.522563","10.166.110.130","199.232.21.21","TCP","55","51171  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"14","1.589370","199.232.21.21","10.166.110.130","TCP","66","443  >  51171 [ACK] Seq=1 Ack=2 Win=382 Len=0 SLE=1 SRE=2"
"15","1.589370","199.232.21.21","10.166.110.130","TCP","66","443  >  63849 [ACK] Seq=1 Ack=2 Win=406 Len=0 SLE=1 SRE=2"
"16","1.917228","fe80::1499:5eff:fe07:cd60","ff02::1","ICMPv6","142","Router Advertisement from 16:99:5e:07:cd:60"
"17","2.019442","10.166.110.130","10.166.110.255","UDP","52","2008  >  2008 Len=10"
"18","3.028387","10.166.110.130","10.166.110.255","UDP","52","2008  >  2008 Len=10"
"19","3.835075","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2404:6800:4002:80a::2003","TCP","75","52113  >  443 [ACK] Seq=1 Ack=1 Win=2043 Len=1"
"20","3.851044","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2404:6800:4002:831::2003","TCP","75","56644  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"21","3.906091","2404:6800:4002:831::2003","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","TCP","86","443  >  56644 [ACK] Seq=1 Ack=2 Win=1042 Len=0 SLE=1 SRE=2"
"22","3.914727","2404:6800:4002:80a::2003","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","TCP","86","443  >  52113 [ACK] Seq=1 Ack=2 Win=1044 Len=0 SLE=1 SRE=2"
"23","4.045953","10.166.110.130","10.166.110.255","UDP","52","2008  >  2008 Len=10"
"24","4.132547","2404:6800:4002:828::200a","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","UDP","140","443  >  56703 Len=78"
"25","4.155937","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2404:6800:4002:828::200a","UDP","95","56703  >  443 Len=33"
"26","4.334649","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2404:6800:4002:828::200a","UDP","91","56703  >  443 Len=29"
"27","4.437697","2404:6800:4002:828::200a","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","UDP","87","443  >  56703 Len=25"
"28","4.642175","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2404:6800:4002:828::200a","UDP","91","56703  >  443 Len=29"
"29","4.807932","2404:6800:4002:828::200a","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","UDP","87","443  >  56703 Len=25"
"30","5.013625","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2404:6800:4002:828::200a","UDP","91","56703  >  443 Len=29"
"31","5.062907","10.166.110.130","10.166.110.255","UDP","52","2008  >  2008 Len=10"
"32","5.132960","2404:6800:4002:828::200a","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","UDP","87","443  >  56703 Len=25"
"33","5.335307","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2404:6800:4002:828::200a","UDP","91","56703  >  443 Len=29"
"34","5.512683","2404:6800:4002:828::200a","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","UDP","87","443  >  56703 Len=25"
"35","5.721248","2603:1046:c04:1019::2","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","TCP","86","443  >  50715 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 WS=256 SACK_PERM"
"36","5.723181","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2404:6800:4002:828::200a","UDP","91","56703  >  443 Len=29"
"37","5.756767","2603:1046:c04:1019::2","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","TCP","86","443  >  50714 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1300 WS=256 SACK_PERM"
"38","5.863290","2404:6800:4002:828::200a","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","UDP","87","443  >  56703 Len=25"
"39","6.078042","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2404:6800:4002:828::200a","UDP","91","56703  >  443 Len=29"
"40","6.079645","10.166.110.130","10.166.110.255","UDP","52","2008  >  2008 Len=10"
"41","6.213900","2404:6800:4002:828::200a","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","UDP","87","443  >  56703 Len=25"
"42","6.271428","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2404:6800:4002:80f::2004","UDP","91","61273  >  443 Len=29"
"43","6.337000","2404:6800:4002:80f::2004","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","UDP","87","443  >  61273 Len=25"
"44","6.628506","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2404:6800:4002:828::200a","UDP","91","56703  >  443 Len=29"
"45","6.735359","2404:6800:4002:828::200a","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","UDP","87","443  >  56703 Len=25"
"46","7.096666","10.166.110.130","10.166.110.255","UDP","52","2008  >  2008 Len=10"
"47","7.544103","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","2404:6800:4002:828::200a","UDP","91","56703  >  443 Len=29"
"48","7.650944","2404:6800:4002:828::200a","2401:4900:47f1:6cfe:d923:23c5:8ea0:2946","UDP","87","443  >  56703 Len=25"
