"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.31.154","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"2","0.001953","192.168.31.154","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"3","0.205492","192.168.31.154","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"4","0.613641","192.168.31.1","224.0.0.251","MDNS","114","Standard query response 0x0000 PTR, cache flush RTHHGHJ00003363.local"
"5","1.022768","192.168.31.154","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"6","1.281839","57.144.147.32","192.168.31.102","TLSv1.2","78","Application Data"
"7","1.281839","57.144.147.32","192.168.31.102","TCP","54","443  >  59389 [FIN, ACK] Seq=25 Ack=1 Win=267 Len=0"
"8","1.281909","192.168.31.102","57.144.147.32","TCP","54","59389  >  443 [ACK] Seq=1 Ack=26 Win=1021 Len=0"
"9","1.409139","157.240.198.60","192.168.31.102","TLSv1.2","78","Application Data"
"10","1.409230","192.168.31.102","157.240.198.60","TCP","54","59385  >  443 [ACK] Seq=1 Ack=25 Win=1021 Len=0"
"11","1.410928","157.240.198.60","192.168.31.102","TCP","54","443  >  59385 [FIN, ACK] Seq=25 Ack=1 Win=267 Len=0"
"12","1.410957","192.168.31.102","157.240.198.60","TCP","54","59385  >  443 [ACK] Seq=1 Ack=26 Win=1021 Len=0"
"13","1.544523","57.144.177.32","192.168.31.102","TLSv1.2","78","Application Data"
"14","1.544523","57.144.177.32","192.168.31.102","TCP","54","443  >  59384 [FIN, ACK] Seq=25 Ack=1 Win=267 Len=0"
"15","1.544594","192.168.31.102","57.144.177.32","TCP","54","59384  >  443 [ACK] Seq=1 Ack=26 Win=1021 Len=0"
"16","2.047145","::","ff02::1:ff3a:6ec1","ICMPv6","86","Neighbor Solicitation for 2409:40d0:2df:fa0b:b86e:85d1:843a:6ec1"
"17","2.049359","fe80::bc54:f4ff:fede:4cc6","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"18","2.251847","2409:40d0:2df:fa0b:b86e:85d1:843a:6ec1","ff02::1:ffe8:449b","ICMPv6","86","Neighbor Solicitation for fe80::16ac:60ff:fee8:449b from be:54:f4:de:4c:c6"
"19","2.253077","fe80::bc54:f4ff:fede:4cc6","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"20","2.254278","192.168.31.154","224.0.0.251","MDNS","85","Standard query 0x0822 PTR 1.31.168.192.in-addr.arpa, ""QM"" question"
"21","2.255753","192.168.31.1","224.0.0.251","MDNS","114","Standard query response 0x0000 PTR, cache flush RTHHGHJ00003363.local"
"22","2.256718","192.168.31.154","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.251"
"23","2.462965","192.168.31.154","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"24","2.463051","192.168.31.154","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"25","4.814847","142.251.223.132","192.168.31.102","UDP","108","443  >  64470 Len=66"
"26","5.906488","192.168.31.102","172.217.26.46","UDP","1286","60486  >  443 Len=1244"
"27","5.906546","192.168.31.102","172.217.26.46","UDP","84","60486  >  443 Len=42"
"28","5.960953","172.217.26.46","192.168.31.102","UDP","69","443  >  60486 Len=27"
"29","5.986301","192.168.31.102","172.217.26.46","UDP","74","60486  >  443 Len=32"
"30","6.050615","172.217.26.46","192.168.31.102","UDP","63","443  >  60486 Len=21"
"31","6.050806","192.168.31.102","172.217.26.46","UDP","75","60486  >  443 Len=33"
"32","6.157781","172.217.26.46","192.168.31.102","UDP","110","443  >  60486 Len=68"
"33","6.158057","192.168.31.102","172.217.26.46","UDP","80","60486  >  443 Len=38"
"34","6.219820","172.217.26.46","192.168.31.102","UDP","66","443  >  60486 Len=24"
"35","7.011642","192.168.31.102","192.168.31.1","DNS","92","Standard query 0x2294 A kidsmanagement-pa.googleapis.com"
"36","7.011826","192.168.31.102","192.168.31.1","DNS","92","Standard query 0xd569 HTTPS kidsmanagement-pa.googleapis.com"
"37","7.038678","192.168.31.1","192.168.31.102","DNS","149","Standard query response 0xd569 HTTPS kidsmanagement-pa.googleapis.com SOA ns1.google.com"
