"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","2404:6800:4003:c03::bc","TCP","75","52130  >  5228 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"2","0.095955","2404:6800:4003:c03::bc","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","TCP","86","5228  >  52130 [ACK] Seq=1 Ack=2 Win=1045 Len=0 SLE=1 SRE=2"
"3","1.600550","fe80::a089:a3ff:fe98:95bc","ff02::fb","MDNS","155","Standard query 0x0047 PTR _googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question"
"4","1.601331","192.168.31.204","224.0.0.251","MDNS","135","Standard query 0x0047 PTR _googlecast._tcp.local, ""QM"" question PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _233637DE._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question"
"5","6.919924","192.168.31.102","192.168.31.1","DNS","75","Standard query 0xe54e AAAA ssl.gstatic.com"
"6","6.920056","192.168.31.102","192.168.31.1","DNS","75","Standard query 0x488e A ssl.gstatic.com"
"7","6.920191","192.168.31.102","192.168.31.1","DNS","75","Standard query 0x1900 HTTPS ssl.gstatic.com"
"8","6.922635","192.168.31.102","192.168.31.1","DNS","68","Standard query 0x3395 A wpad.lan"
"9","6.922709","192.168.31.102","192.168.31.1","DNS","68","Standard query 0x61e5 AAAA wpad.lan"
"10","6.928807","192.168.31.1","192.168.31.102","DNS","91","Standard query response 0x488e A ssl.gstatic.com A 216.58.200.195"
"11","6.928807","192.168.31.1","192.168.31.102","DNS","103","Standard query response 0xe54e AAAA ssl.gstatic.com AAAA 2404:6800:4002:81d::2003"
"12","6.929712","192.168.31.1","192.168.31.102","DNS","68","Standard query response 0x61e5 No such name AAAA wpad.lan"
"13","6.929712","192.168.31.1","192.168.31.102","DNS","68","Standard query response 0x3395 No such name A wpad.lan"
"14","6.942032","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","2404:6800:4002:81d::2003","QUIC","1292","Initial, DCID=a9caa99b4397d7a5, PKN: 1, PING, CRYPTO, PING, PING, PING, CRYPTO, PING, PADDING, CRYPTO, PING, CRYPTO, PADDING, PING, PING"
"15","6.942075","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","2404:6800:4002:81d::2003","QUIC","1292","Initial, DCID=a9caa99b4397d7a5, PKN: 2, PING, CRYPTO, CRYPTO, CRYPTO, PING, PING, CRYPTO, CRYPTO, PING, CRYPTO"
"16","6.942213","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","2404:6800:4002:81d::2003","QUIC","142","0-RTT, DCID=a9caa99b4397d7a5"
"17","6.942403","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","2404:6800:4002:81d::2003","QUIC","751","0-RTT, DCID=a9caa99b4397d7a5"
"18","6.951574","192.168.31.1","192.168.31.102","DNS","132","Standard query response 0x1900 HTTPS ssl.gstatic.com SOA ns1.google.com"
"19","6.975295","2404:6800:4002:81d::2003","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","QUIC","102","Initial, SCID=e9caa99b4397d7a5, PKN: 1, ACK"
"20","6.980793","2404:6800:4002:81d::2003","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","QUIC","1292","Initial, SCID=e9caa99b4397d7a5, PKN: 2, ACK, PADDING"
"21","7.020439","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","2404:6800:4002:81d::2003","QUIC","1292","Initial, DCID=e9caa99b4397d7a5, PKN: 6, PADDING, PING, PADDING"
"22","7.044162","2404:6800:4002:81d::2003","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","QUIC","1292","Initial, SCID=e9caa99b4397d7a5, PKN: 3, CRYPTO, PADDING"
"23","7.044162","2404:6800:4002:81d::2003","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","QUIC","370","Protected Payload (KP0)"
"24","7.044162","2404:6800:4002:81d::2003","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","QUIC","984","Protected Payload (KP0)"
"25","7.044923","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","2404:6800:4002:81d::2003","QUIC","140","Handshake, DCID=e9caa99b4397d7a5"
"26","7.045017","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","2404:6800:4002:81d::2003","QUIC","93","Protected Payload (KP0), DCID=e9caa99b4397d7a5"
"27","7.051469","2404:6800:4002:81d::2003","2409:40d0:2d7:f7ae:6fb1:cb02:65d6:4c63","QUIC","107","Protected Payload (KP0)"
