"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","CloudNetwork_e8:44:9b","AzureWaveTec_b2:79:a7","ARP","42","Who has 192.168.31.102? Tell 192.168.31.1"
"2","0.000025","AzureWaveTec_b2:79:a7","CloudNetwork_e8:44:9b","ARP","42","192.168.31.102 is at 10:68:38:b2:79:a7"
"3","0.741284","2409:40d0:114e:2ffd:f076:4220:c18d:594e","2405:200:1604::312c:5f92","TCP","74","64964  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1024 Len=0"
"4","1.274635","2409:40d0:114e:2ffd:f076:4220:c18d:594e","2405:200:1604::312c:5f92","TCP","74","[TCP Retransmission] 64964  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1024 Len=0"
"5","1.802632","2606:4700:9641:d8b7:9aa8:480:ccf5:ac50","2409:40d0:114e:2ffd:f076:4220:c18d:594e","TLSv1.2","98","Application Data"
"6","1.802978","2409:40d0:114e:2ffd:f076:4220:c18d:594e","2606:4700:9641:d8b7:9aa8:480:ccf5:ac50","TLSv1.2","102","Application Data"
"7","1.858033","2606:4700:9641:d8b7:9aa8:480:ccf5:ac50","2409:40d0:114e:2ffd:f076:4220:c18d:594e","TCP","74","443  >  64009 [ACK] Seq=25 Ack=29 Win=17 Len=0"
"8","2.217660","2409:40d0:114e:2ffd:f076:4220:c18d:594e","2405:200:1604::312c:5f92","TCP","74","[TCP Retransmission] 64964  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1024 Len=0"
"9","4.053312","2620:1ec:bdf::48","2409:40d0:114e:2ffd:f076:4220:c18d:594e","TLSv1.2","98","Application Data"
"10","4.053312","2620:1ec:bdf::48","2409:40d0:114e:2ffd:f076:4220:c18d:594e","TCP","74","443  >  53452 [FIN, ACK] Seq=25 Ack=1 Win=83 Len=0"
"11","4.053312","2620:1ec:bdf::48","2409:40d0:114e:2ffd:f076:4220:c18d:594e","TCP","113","[TCP Out-Of-Order] 443  >  53452 [PSH, ACK] Seq=4294967258 Ack=1 Win=83 Len=39"
