"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.100.15.249","224.0.0.22","IGMPv3","60","Membership Report / Leave group 224.0.0.251"
"2","0.306187","62:18:8a:6f:7f:3b","Broadcast","ARP","60","Gratuitous ARP for 192.100.31.152 (Request)"
"3","0.306223","62:18:8a:6f:7f:3b","Broadcast","ARP","60","Gratuitous ARP for 192.100.31.152 (Request)"
"4","0.306229","62:18:8a:6f:7f:3b","Broadcast","ARP","60","Gratuitous ARP for 192.100.31.152 (Request)"
"5","0.306234","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"6","0.307698","192.100.20.217","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"7","0.307850","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"8","0.307866","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"9","0.308218","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"10","0.308232","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"11","0.309178","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"12","0.309192","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"13","0.309612","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"14","0.311555","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"15","0.311584","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"16","0.312423","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"17","0.312451","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"18","0.313955","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"19","0.313984","192.100.20.217","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"20","0.314070","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"21","0.314090","192.100.20.217","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"22","0.314878","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"23","0.314906","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"24","0.315626","192.100.20.217","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251"
"25","0.315728","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"26","0.316473","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"27","0.316487","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"28","0.317205","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"29","0.317233","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"30","0.318005","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"31","0.318033","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"32","0.318874","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"33","0.318902","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"34","0.319605","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"35","0.319633","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"36","0.320447","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
"37","0.320475","192.100.20.217","224.0.0.2","IGMPv2","60","Leave Group 224.0.0.251"
